#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cd38	Cd86	10090.ENSMUSP00000030964	10090.ENSMUSP00000087047	0	0	0	0	0.156	0	0	0.855	0.872
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943
Cd4	Il7r	10090.ENSMUSP00000024044	10090.ENSMUSP00000003981	0	0	0	0	0.179	0	0.400	0.890	0.941
Cd4	Cd83	10090.ENSMUSP00000024044	10090.ENSMUSP00000015540	0	0	0	0	0	0	0	0.758	0.758
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Cd40	10090.ENSMUSP00000024044	10090.ENSMUSP00000017799	0	0	0	0	0	0	0	0.890	0.890
Cd4	Csf2	10090.ENSMUSP00000024044	10090.ENSMUSP00000019060	0	0	0	0	0	0.104	0	0.878	0.886
Cd4	Ifnb1	10090.ENSMUSP00000024044	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.798	0.798
Cd4	Mog	10090.ENSMUSP00000024044	10090.ENSMUSP00000099726	0	0	0	0	0.067	0	0	0.808	0.813
Cd4	Cxcr3	10090.ENSMUSP00000024044	10090.ENSMUSP00000052444	0	0	0	0	0.128	0.082	0	0.864	0.882
Cd4	Itgax	10090.ENSMUSP00000024044	10090.ENSMUSP00000033053	0	0	0	0	0.083	0.086	0	0.902	0.910
Cd4	Cd80	10090.ENSMUSP00000024044	10090.ENSMUSP00000156031	0	0	0	0	0.114	0.127	0	0.922	0.934
Cd4	Il1b	10090.ENSMUSP00000024044	10090.ENSMUSP00000028881	0	0	0.226	0	0.065	0.097	0	0.911	0.934
Cd4	Il17a	10090.ENSMUSP00000024044	10090.ENSMUSP00000027061	0	0	0	0	0	0.097	0	0.931	0.935
Cd4	Cd86	10090.ENSMUSP00000024044	10090.ENSMUSP00000087047	0	0	0	0	0.105	0	0	0.931	0.936
Cd4	Tnf	10090.ENSMUSP00000024044	10090.ENSMUSP00000025263	0	0	0	0	0.049	0	0	0.938	0.938
Cd4	Il6	10090.ENSMUSP00000024044	10090.ENSMUSP00000026845	0	0	0	0	0	0.104	0	0.944	0.948
Cd4	Il2	10090.ENSMUSP00000024044	10090.ENSMUSP00000029275	0	0	0	0	0.048	0.094	0	0.952	0.955
Cd4	Foxp3	10090.ENSMUSP00000024044	10090.ENSMUSP00000111405	0	0	0	0	0.042	0	0	0.957	0.957
Cd4	Ptprc	10090.ENSMUSP00000024044	10090.ENSMUSP00000138350	0	0	0	0	0.213	0.097	0.400	0.929	0.966
Cd4	Ifng	10090.ENSMUSP00000024044	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.967	0.968
Cd40	Il4	10090.ENSMUSP00000017799	10090.ENSMUSP00000000889	0	0	0	0	0.056	0	0	0.903	0.904
Cd40	Il7r	10090.ENSMUSP00000017799	10090.ENSMUSP00000003981	0	0	0	0	0.083	0	0	0.604	0.621
Cd40	Cd83	10090.ENSMUSP00000017799	10090.ENSMUSP00000015540	0	0	0	0	0.173	0	0	0.917	0.928
Cd40	Il10	10090.ENSMUSP00000017799	10090.ENSMUSP00000016673	0	0	0	0	0.053	0	0	0.864	0.865
Cd40	Mog	10090.ENSMUSP00000017799	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.510	0.510
Cd40	Cxcr3	10090.ENSMUSP00000017799	10090.ENSMUSP00000052444	0	0	0	0	0.044	0.064	0	0.609	0.619
Cd40	Ifnb1	10090.ENSMUSP00000017799	10090.ENSMUSP00000056720	0	0	0	0	0.087	0	0	0.653	0.669
Cd40	Foxp3	10090.ENSMUSP00000017799	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.785	0.785
Cd40	Ptprc	10090.ENSMUSP00000017799	10090.ENSMUSP00000138350	0	0	0	0	0.131	0	0	0.793	0.812
Cd40	Csf2	10090.ENSMUSP00000017799	10090.ENSMUSP00000019060	0	0	0	0	0.114	0	0	0.807	0.822
Cd40	Il17a	10090.ENSMUSP00000017799	10090.ENSMUSP00000027061	0	0	0	0	0.050	0	0	0.823	0.824
Cd40	Itgax	10090.ENSMUSP00000017799	10090.ENSMUSP00000033053	0	0	0	0	0.073	0	0	0.850	0.855
Cd40	Il6	10090.ENSMUSP00000017799	10090.ENSMUSP00000026845	0	0	0	0	0.153	0	0	0.843	0.861
Cd40	Il2	10090.ENSMUSP00000017799	10090.ENSMUSP00000029275	0	0	0	0	0.059	0	0	0.864	0.867
Cd40	Il1b	10090.ENSMUSP00000017799	10090.ENSMUSP00000028881	0	0	0	0	0.211	0	0	0.876	0.898
Cd40	Ifng	10090.ENSMUSP00000017799	10090.ENSMUSP00000063800	0	0	0	0	0.079	0	0	0.908	0.911
Cd40	Cd86	10090.ENSMUSP00000017799	10090.ENSMUSP00000087047	0	0	0	0	0.334	0	0	0.970	0.979
Cd40	Tnf	10090.ENSMUSP00000017799	10090.ENSMUSP00000025263	0	0	0	0	0.208	0.068	0.500	0.963	0.984
Cd40	Cd80	10090.ENSMUSP00000017799	10090.ENSMUSP00000156031	0	0	0	0	0.145	0.095	0	0.998	0.998
Cd80	Il4	10090.ENSMUSP00000156031	10090.ENSMUSP00000000889	0	0	0	0	0.050	0	0	0.857	0.858
Cd80	Il7r	10090.ENSMUSP00000156031	10090.ENSMUSP00000003981	0	0	0	0	0.159	0	0	0.640	0.684
Cd80	Cd83	10090.ENSMUSP00000156031	10090.ENSMUSP00000015540	0	0	0	0	0.133	0	0	0.895	0.905
Cd80	Il10	10090.ENSMUSP00000156031	10090.ENSMUSP00000016673	0	0	0	0	0.130	0	0	0.880	0.891
Cd80	Csf2	10090.ENSMUSP00000156031	10090.ENSMUSP00000019060	0	0	0	0	0.087	0.122	0	0.852	0.871
Cd80	Tnf	10090.ENSMUSP00000156031	10090.ENSMUSP00000025263	0	0	0	0	0.198	0.122	0	0.855	0.889
Cd80	Il6	10090.ENSMUSP00000156031	10090.ENSMUSP00000026845	0	0	0	0	0.145	0.122	0	0.856	0.882
Cd80	Il17a	10090.ENSMUSP00000156031	10090.ENSMUSP00000027061	0	0	0	0	0.052	0.104	0	0.743	0.762
Cd80	Il1b	10090.ENSMUSP00000156031	10090.ENSMUSP00000028881	0	0	0	0	0.143	0.104	0	0.771	0.809
Cd80	Il2	10090.ENSMUSP00000156031	10090.ENSMUSP00000029275	0	0	0	0	0.058	0.112	0	0.855	0.868
Cd80	Itgax	10090.ENSMUSP00000156031	10090.ENSMUSP00000033053	0	0	0	0	0.096	0.094	0	0.879	0.892
Cd80	Cxcr3	10090.ENSMUSP00000156031	10090.ENSMUSP00000052444	0	0	0	0	0	0.096	0	0.609	0.631
Cd80	Ifnb1	10090.ENSMUSP00000156031	10090.ENSMUSP00000056720	0	0	0	0	0.061	0.079	0	0.663	0.683
Cd80	Ifng	10090.ENSMUSP00000156031	10090.ENSMUSP00000063800	0	0	0	0	0.063	0	0	0.898	0.900
Cd80	Cd86	10090.ENSMUSP00000156031	10090.ENSMUSP00000087047	0	0	0	0.643	0.219	0.114	0.900	0.988	0.999
Cd80	Mog	10090.ENSMUSP00000156031	10090.ENSMUSP00000099726	0	0	0	0	0.068	0.051	0	0.518	0.536
Cd80	Foxp3	10090.ENSMUSP00000156031	10090.ENSMUSP00000111405	0	0	0	0	0.047	0	0	0.898	0.899
Cd80	Ptprc	10090.ENSMUSP00000156031	10090.ENSMUSP00000138350	0	0	0	0	0.215	0.053	0	0.824	0.857
Cd83	Il4	10090.ENSMUSP00000015540	10090.ENSMUSP00000000889	0	0	0	0	0.064	0	0	0.773	0.778
Cd83	Il7r	10090.ENSMUSP00000015540	10090.ENSMUSP00000003981	0	0	0	0	0.151	0	0	0.395	0.464
Cd83	Ifnb1	10090.ENSMUSP00000015540	10090.ENSMUSP00000056720	0	0	0	0	0.057	0	0	0.474	0.482
Cd83	Cxcr3	10090.ENSMUSP00000015540	10090.ENSMUSP00000052444	0	0	0	0	0.073	0	0	0.514	0.530
Cd83	Il17a	10090.ENSMUSP00000015540	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.552	0.552
Cd83	Ptprc	10090.ENSMUSP00000015540	10090.ENSMUSP00000138350	0	0	0	0	0.157	0.055	0	0.576	0.632
Cd83	Foxp3	10090.ENSMUSP00000015540	10090.ENSMUSP00000111405	0	0	0	0	0.057	0	0	0.641	0.646
Cd83	Il2	10090.ENSMUSP00000015540	10090.ENSMUSP00000029275	0	0	0	0	0.061	0	0	0.641	0.648
Cd83	Il1b	10090.ENSMUSP00000015540	10090.ENSMUSP00000028881	0	0	0	0	0.193	0	0	0.668	0.721
Cd83	Ifng	10090.ENSMUSP00000015540	10090.ENSMUSP00000063800	0	0	0	0	0.066	0	0	0.724	0.731
Cd83	Il10	10090.ENSMUSP00000015540	10090.ENSMUSP00000016673	0	0	0	0	0.083	0	0	0.745	0.756
Cd83	Csf2	10090.ENSMUSP00000015540	10090.ENSMUSP00000019060	0	0	0	0	0.063	0	0	0.766	0.772
Cd83	Il6	10090.ENSMUSP00000015540	10090.ENSMUSP00000026845	0	0	0	0	0.121	0	0	0.758	0.778
Cd83	Itgax	10090.ENSMUSP00000015540	10090.ENSMUSP00000033053	0	0	0	0	0.153	0	0	0.783	0.808
Cd83	Tnf	10090.ENSMUSP00000015540	10090.ENSMUSP00000025263	0	0	0	0	0.292	0	0	0.749	0.815
Cd83	Cd86	10090.ENSMUSP00000015540	10090.ENSMUSP00000087047	0	0	0	0	0.347	0	0	0.906	0.936
Cd86	Il4	10090.ENSMUSP00000087047	10090.ENSMUSP00000000889	0	0	0	0	0.042	0	0	0.869	0.869
Cd86	Il7r	10090.ENSMUSP00000087047	10090.ENSMUSP00000003981	0	0	0	0	0.215	0	0	0.641	0.706
Cd86	Il10	10090.ENSMUSP00000087047	10090.ENSMUSP00000016673	0	0	0	0	0.220	0	0	0.903	0.921
Cd86	Csf2	10090.ENSMUSP00000087047	10090.ENSMUSP00000019060	0	0	0	0	0.061	0	0	0.854	0.857
Cd86	Tnf	10090.ENSMUSP00000087047	10090.ENSMUSP00000025263	0	0	0	0	0.211	0	0	0.863	0.887
Cd86	Il6	10090.ENSMUSP00000087047	10090.ENSMUSP00000026845	0	0	0	0	0.136	0	0	0.866	0.880
Cd86	Il17a	10090.ENSMUSP00000087047	10090.ENSMUSP00000027061	0	0	0	0	0.068	0	0	0.768	0.775
Cd86	Il1b	10090.ENSMUSP00000087047	10090.ENSMUSP00000028881	0	0	0	0	0.275	0	0	0.821	0.865
Cd86	Il2	10090.ENSMUSP00000087047	10090.ENSMUSP00000029275	0	0	0	0	0.042	0	0	0.839	0.839
Cd86	Itgax	10090.ENSMUSP00000087047	10090.ENSMUSP00000033053	0	0	0	0	0.180	0	0	0.884	0.900
Cd86	Cxcr3	10090.ENSMUSP00000087047	10090.ENSMUSP00000052444	0	0	0	0	0.083	0	0	0.642	0.658
Cd86	Ifnb1	10090.ENSMUSP00000087047	10090.ENSMUSP00000056720	0	0	0	0	0.065	0	0	0.676	0.684
Cd86	Ifng	10090.ENSMUSP00000087047	10090.ENSMUSP00000063800	0	0	0	0	0.230	0	0	0.899	0.919
Cd86	Mog	10090.ENSMUSP00000087047	10090.ENSMUSP00000099726	0	0	0	0	0.048	0	0	0.554	0.558
Cd86	Ptprc	10090.ENSMUSP00000087047	10090.ENSMUSP00000138350	0	0	0	0	0.341	0	0	0.843	0.892
Cd86	Foxp3	10090.ENSMUSP00000087047	10090.ENSMUSP00000111405	0	0	0	0	0.047	0	0	0.896	0.897
Csf2	Il4	10090.ENSMUSP00000019060	10090.ENSMUSP00000000889	0	0	0	0	0.179	0	0	0.922	0.934
Csf2	Il7r	10090.ENSMUSP00000019060	10090.ENSMUSP00000003981	0	0	0	0	0	0	0.650	0.607	0.856
Csf2	Il10	10090.ENSMUSP00000019060	10090.ENSMUSP00000016673	0	0	0	0	0.103	0	0	0.897	0.903
Csf2	Cxcr3	10090.ENSMUSP00000019060	10090.ENSMUSP00000052444	0	0	0	0	0	0	0	0.607	0.607
Csf2	Mog	10090.ENSMUSP00000019060	10090.ENSMUSP00000099726	0	0	0	0	0.091	0	0	0.609	0.630
Csf2	Foxp3	10090.ENSMUSP00000019060	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.769	0.769
Csf2	Ptprc	10090.ENSMUSP00000019060	10090.ENSMUSP00000138350	0	0	0	0	0	0	0	0.785	0.785
Csf2	Ifnb1	10090.ENSMUSP00000019060	10090.ENSMUSP00000056720	0	0	0	0	0.085	0	0	0.838	0.845
Csf2	Itgax	10090.ENSMUSP00000019060	10090.ENSMUSP00000033053	0	0	0	0	0.081	0	0	0.848	0.854
Csf2	Il17a	10090.ENSMUSP00000019060	10090.ENSMUSP00000027061	0	0	0	0	0.101	0	0	0.882	0.889
Csf2	Il6	10090.ENSMUSP00000019060	10090.ENSMUSP00000026845	0	0	0	0	0.221	0	0	0.915	0.931
Csf2	Tnf	10090.ENSMUSP00000019060	10090.ENSMUSP00000025263	0	0	0	0	0.375	0	0	0.908	0.940
Csf2	Ifng	10090.ENSMUSP00000019060	10090.ENSMUSP00000063800	0	0	0	0	0.191	0	0	0.985	0.987
Csf2	Il2	10090.ENSMUSP00000019060	10090.ENSMUSP00000029275	0	0	0	0	0.170	0	0	0.994	0.994
Csf2	Il1b	10090.ENSMUSP00000019060	10090.ENSMUSP00000028881	0	0	0	0	0.228	0	0	0.993	0.995
Cxcr3	Il4	10090.ENSMUSP00000052444	10090.ENSMUSP00000000889	0	0	0	0	0.073	0	0	0.696	0.706
Cxcr3	Il7r	10090.ENSMUSP00000052444	10090.ENSMUSP00000003981	0	0	0	0	0.117	0	0	0.710	0.732
Cxcr3	Il10	10090.ENSMUSP00000052444	10090.ENSMUSP00000016673	0	0	0	0	0.114	0	0	0.738	0.758
Cxcr3	Tnf	10090.ENSMUSP00000052444	10090.ENSMUSP00000025263	0	0	0	0	0.073	0	0	0.740	0.748
Cxcr3	Il6	10090.ENSMUSP00000052444	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.720	0.720
Cxcr3	Il17a	10090.ENSMUSP00000052444	10090.ENSMUSP00000027061	0	0	0	0	0.052	0	0	0.740	0.742
Cxcr3	Il1b	10090.ENSMUSP00000052444	10090.ENSMUSP00000028881	0	0	0	0	0.053	0	0	0.769	0.771
Cxcr3	Il2	10090.ENSMUSP00000052444	10090.ENSMUSP00000029275	0	0	0	0	0.057	0	0	0.735	0.739
Cxcr3	Itgax	10090.ENSMUSP00000052444	10090.ENSMUSP00000033053	0	0	0	0	0.126	0	0	0.670	0.699
Cxcr3	Mog	10090.ENSMUSP00000052444	10090.ENSMUSP00000099726	0	0	0	0	0.051	0	0	0.440	0.446
Cxcr3	Ifnb1	10090.ENSMUSP00000052444	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.544	0.544
Cxcr3	Ptprc	10090.ENSMUSP00000052444	10090.ENSMUSP00000138350	0	0	0	0	0.167	0	0	0.696	0.736
Cxcr3	Foxp3	10090.ENSMUSP00000052444	10090.ENSMUSP00000111405	0	0	0	0	0.116	0	0	0.766	0.785
Cxcr3	Ifng	10090.ENSMUSP00000052444	10090.ENSMUSP00000063800	0	0	0	0	0.198	0	0	0.847	0.872
Foxp3	Il4	10090.ENSMUSP00000111405	10090.ENSMUSP00000000889	0	0	0	0	0.116	0	0	0.890	0.899
Foxp3	Il7r	10090.ENSMUSP00000111405	10090.ENSMUSP00000003981	0	0	0	0	0.046	0	0	0.847	0.848
Foxp3	Il10	10090.ENSMUSP00000111405	10090.ENSMUSP00000016673	0	0	0	0	0.160	0	0	0.919	0.929
Foxp3	Tnf	10090.ENSMUSP00000111405	10090.ENSMUSP00000025263	0	0	0	0	0.064	0.093	0	0.853	0.865
Foxp3	Il6	10090.ENSMUSP00000111405	10090.ENSMUSP00000026845	0	0	0	0	0	0.292	0	0.864	0.900
Foxp3	Il17a	10090.ENSMUSP00000111405	10090.ENSMUSP00000027061	0	0	0	0	0.093	0	0	0.893	0.899
Foxp3	Il1b	10090.ENSMUSP00000111405	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.794	0.794
Foxp3	Il2	10090.ENSMUSP00000111405	10090.ENSMUSP00000029275	0	0	0	0	0.102	0.794	0	0.902	0.980
Foxp3	Itgax	10090.ENSMUSP00000111405	10090.ENSMUSP00000033053	0	0	0	0	0	0	0	0.848	0.848
Foxp3	Ifnb1	10090.ENSMUSP00000111405	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.607	0.607
Foxp3	Ifng	10090.ENSMUSP00000111405	10090.ENSMUSP00000063800	0	0	0	0	0.112	0.293	0	0.920	0.945
Foxp3	Mog	10090.ENSMUSP00000111405	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.724	0.724
Foxp3	Ptprc	10090.ENSMUSP00000111405	10090.ENSMUSP00000138350	0	0	0	0	0	0	0	0.876	0.876
Ifnb1	Il4	10090.ENSMUSP00000056720	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.714	0.714
Ifnb1	Il7r	10090.ENSMUSP00000056720	10090.ENSMUSP00000003981	0	0	0	0	0	0	0.650	0.374	0.771
Ifnb1	Il10	10090.ENSMUSP00000056720	10090.ENSMUSP00000016673	0	0	0	0	0.127	0	0	0.822	0.838
Ifnb1	Tnf	10090.ENSMUSP00000056720	10090.ENSMUSP00000025263	0	0	0	0	0.301	0	0	0.863	0.900
Ifnb1	Il6	10090.ENSMUSP00000056720	10090.ENSMUSP00000026845	0	0	0	0	0.226	0	0	0.864	0.890
