#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ido1	Il17a	10090.ENSMUSP00000033956	10090.ENSMUSP00000027061	0	0	0	0	0.057	0	0	0.696	0.702
Ido1	Sell	10090.ENSMUSP00000033956	10090.ENSMUSP00000027871	0	0	0	0	0.096	0	0	0.479	0.509
Ido1	Mtor	10090.ENSMUSP00000033956	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.490	0.489
Ido1	Stat5a	10090.ENSMUSP00000033956	10090.ENSMUSP00000102980	0	0	0	0	0.065	0	0	0.520	0.532
Ido1	Il22	10090.ENSMUSP00000033956	10090.ENSMUSP00000094449	0	0	0	0	0.059	0	0	0.552	0.560
Ido1	Ifnb1	10090.ENSMUSP00000033956	10090.ENSMUSP00000056720	0	0	0	0	0.049	0	0	0.607	0.610
Ido1	Tnfrsf18	10090.ENSMUSP00000033956	10090.ENSMUSP00000099462	0	0	0	0	0.068	0	0	0.710	0.718
Ido1	Ifng	10090.ENSMUSP00000033956	10090.ENSMUSP00000063800	0	0	0	0	0.178	0	0	0.868	0.887
Ido1	Ido2	10090.ENSMUSP00000033956	10090.ENSMUSP00000113979	0	0	0.079	0.923	0	0	0.900	0.095	0.909
Ido2	Il4	10090.ENSMUSP00000113979	10090.ENSMUSP00000000889	0	0	0	0	0.086	0	0	0.650	0.666
Ido2	Il10	10090.ENSMUSP00000113979	10090.ENSMUSP00000016673	0	0	0	0	0.080	0	0	0.831	0.837
Ido2	Tnf	10090.ENSMUSP00000113979	10090.ENSMUSP00000025263	0	0	0	0	0.070	0	0	0.714	0.722
Ido2	Il6	10090.ENSMUSP00000113979	10090.ENSMUSP00000026845	0	0	0	0	0.066	0	0	0.709	0.717
Ido2	Il17a	10090.ENSMUSP00000113979	10090.ENSMUSP00000027061	0	0	0	0	0.060	0	0	0.645	0.652
Ido2	Sell	10090.ENSMUSP00000113979	10090.ENSMUSP00000027871	0	0	0	0	0.054	0	0	0.393	0.401
Ido2	Ifnb1	10090.ENSMUSP00000113979	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.490	0.489
Ido2	Ifng	10090.ENSMUSP00000113979	10090.ENSMUSP00000063800	0	0	0	0	0.047	0	0	0.814	0.815
Ido2	Il22	10090.ENSMUSP00000113979	10090.ENSMUSP00000094449	0	0	0	0	0.079	0	0	0.442	0.464
Ido2	Tnfrsf18	10090.ENSMUSP00000113979	10090.ENSMUSP00000099462	0	0	0	0	0.091	0	0	0.588	0.610
Ido2	Stat5a	10090.ENSMUSP00000113979	10090.ENSMUSP00000102980	0	0	0	0	0.049	0	0	0.442	0.446
Ifnb1	Il4	10090.ENSMUSP00000056720	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.714	0.714
Ifnb1	Il10	10090.ENSMUSP00000056720	10090.ENSMUSP00000016673	0	0	0	0	0.127	0	0	0.822	0.838
Ifnb1	Tnf	10090.ENSMUSP00000056720	10090.ENSMUSP00000025263	0	0	0	0	0.301	0	0	0.863	0.900
Ifnb1	Il6	10090.ENSMUSP00000056720	10090.ENSMUSP00000026845	0	0	0	0	0.226	0	0	0.864	0.890
Ifnb1	Il17a	10090.ENSMUSP00000056720	10090.ENSMUSP00000027061	0	0	0	0	0.101	0	0	0.708	0.726
Ifnb1	Sell	10090.ENSMUSP00000056720	10090.ENSMUSP00000027871	0	0	0	0	0.067	0	0	0.396	0.412
Ifnb1	Mtor	10090.ENSMUSP00000056720	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.410	0.410
Ifnb1	Mog	10090.ENSMUSP00000056720	10090.ENSMUSP00000099726	0	0	0	0	0.053	0	0	0.559	0.564
Ifnb1	Il22	10090.ENSMUSP00000056720	10090.ENSMUSP00000094449	0	0	0	0	0.095	0	0	0.699	0.716
Ifnb1	Stat5a	10090.ENSMUSP00000056720	10090.ENSMUSP00000102980	0	0	0	0	0.068	0	0	0.774	0.780
Ifnb1	Ifng	10090.ENSMUSP00000056720	10090.ENSMUSP00000063800	0	0	0	0	0.126	0	0	0.884	0.894
Ifng	Il4	10090.ENSMUSP00000063800	10090.ENSMUSP00000000889	0	0	0	0	0.156	0	0	0.965	0.969
Ifng	Il10	10090.ENSMUSP00000063800	10090.ENSMUSP00000016673	0	0	0	0	0.587	0	0	0.967	0.986
Ifng	Tnf	10090.ENSMUSP00000063800	10090.ENSMUSP00000025263	0	0	0	0	0.181	0	0	0.965	0.970
Ifng	Il6	10090.ENSMUSP00000063800	10090.ENSMUSP00000026845	0	0	0	0	0.124	0	0	0.966	0.969
Ifng	Il17a	10090.ENSMUSP00000063800	10090.ENSMUSP00000027061	0	0	0	0	0.136	0	0	0.953	0.958
